system,dataset,fold,MAPE,MAE,RMSE
dconvert,png-small.csv,2,0.03291396858442667,0.014856323302452951,0.020034206396575428
dconvert,png-small.csv,3,0.029987297571291937,0.01329550103002888,0.017591874680417494
dconvert,png-small.csv,4,0.03268546089163307,0.014733372862346073,0.01942037727745375
dconvert,psd-large.csv,0,0.015165204572679065,0.5748375485935479,0.9070770777013212
dconvert,psd-large.csv,1,0.015479151151591607,0.591022319469466,0.9830969798291714
dconvert,psd-large.csv,2,0.014981852476268495,0.564216589804323,0.9120681285343885
dconvert,psd-large.csv,3,0.014673542303469492,0.5539262070976534,0.8876875570208025
dconvert,psd-large.csv,4,0.014474670161807375,0.5544659922108848,0.9290683185620291
dconvert,psd-medium.csv,0,0.02351969184036272,0.030570359205371437,0.039171030382271675
dconvert,psd-medium.csv,1,0.02222248697437224,0.028716084698087094,0.037789148878799486
dconvert,psd-medium.csv,2,0.022990533370855295,0.029433168223057513,0.0377699996903204
dconvert,psd-medium.csv,3,0.02341245349611572,0.03007777734588713,0.038153460141610175
dconvert,psd-medium.csv,4,0.022677838485677535,0.02938958632170096,0.03798090486646459
dconvert,psd-small.csv,0,0.03643854115583179,0.020327477391701845,0.02561247937153635
dconvert,psd-small.csv,1,0.03488893970363087,0.01943077978520418,0.024081270413360927
dconvert,psd-small.csv,2,0.03636139915172199,0.02030476429950548,0.02523828886716258
dconvert,psd-small.csv,3,0.0346491473504272,0.019399100048667135,0.02496262496141621
dconvert,psd-small.csv,4,0.03409603981335825,0.019169220403277662,0.024483047917753884
dconvert,svg-large.csv,0,0.02132146506271465,0.032054562702587774,0.04007300481042025
dconvert,svg-large.csv,1,0.020235054650389807,0.030658112396950734,0.04118407006166101
dconvert,svg-large.csv,2,0.019749865492062323,0.029837082160109513,0.03916485715884689
dconvert,svg-large.csv,3,0.020914537395348865,0.03154969321121926,0.04031014244526654
dconvert,svg-large.csv,4,0.0201540054782721,0.030510728352168608,0.039935889007525385
dconvert,svg-medium.csv,0,0.017517146074330355,0.026898883310671834,0.03385784263135093
dconvert,svg-medium.csv,1,0.01726812756406532,0.026600143685661593,0.03343329968402402
dconvert,svg-medium.csv,2,0.017310237834153405,0.026610821507546255,0.0327606572540723
dconvert,svg-medium.csv,3,0.018097811385489937,0.02787780197831497,0.03511730140194573
dconvert,svg-medium.csv,4,0.016861294000002768,0.02591581827790074,0.03247508321998075
dconvert,svg-small.csv,0,0.024031376536010167,0.013506091707121066,0.017063827875511615
dconvert,svg-small.csv,1,0.02321465716812132,0.01298347155164985,0.016317120056905023
dconvert,svg-small.csv,2,0.02364689221708002,0.013139737573096423,0.016516406794879784
dconvert,svg-small.csv,3,0.021799860315112798,0.012317216449196217,0.016092717079573
dconvert,svg-small.csv,4,0.02281999547999002,0.012742971020513737,0.015919049825223363
h2,smallbank-1.csv,0,0.04164178347503796,791.7532244045716,1015.2133749241295
h2,smallbank-1.csv,1,0.036385228328391105,700.7503746403453,920.4726249549337
h2,smallbank-1.csv,2,0.058848099743033566,1241.5060416999681,2123.5510525718664
h2,smallbank-1.csv,3,0.0394547417673057,758.8561705762468,989.1021185777158
h2,smallbank-1.csv,4,0.0393262150084617,741.6149989983975,982.506286377942
h2,smallbank-10.csv,0,0.02399803456519141,311.5825232776535,427.10509256596805
h2,smallbank-10.csv,1,0.026957130845395447,378.1852971147698,573.0569834120391
h2,smallbank-10.csv,2,0.02300919999721685,313.03831072170715,408.82296865243376
h2,smallbank-10.csv,3,0.029164179966216366,442.2381338914642,850.2700930839557
h2,smallbank-10.csv,4,0.023179227801860974,303.92197265625,406.89017255343924
h2,tpcc-2.csv,0,0.028868896686368564,21.18746206766504,26.850483208454722
h2,tpcc-2.csv,1,0.02770006972284844,20.122904355568654,25.132691628927866
h2,tpcc-2.csv,2,0.030129320087822334,21.855084119245525,27.322248139192247
h2,tpcc-2.csv,3,0.029014487772755705,21.19596406200048,25.952520046007848
h2,tpcc-2.csv,4,0.029856463562436923,21.866449287610177,27.86437428682427
h2,tpcc-8.csv,0,0.20456907090404308,104.12368925407415,199.06737546849908
h2,tpcc-8.csv,1,0.2479177199401399,130.4620403475164,206.1325100009202
h2,tpcc-8.csv,2,0.22710257325000516,122.2220320055247,217.89242500225433
h2,tpcc-8.csv,3,0.22260962819204871,121.08949186125069,192.92279674891336
h2,tpcc-8.csv,4,0.2268962397008368,121.95569516695463,223.49870584496986
h2,voter-16.csv,0,0.018731181985478455,597.645515305307,819.297752165729
h2,voter-16.csv,1,0.017605137722819363,554.2340603021099,769.4905687090117
h2,voter-16.csv,2,0.017924173577019382,601.1190756873401,889.050706709632
h2,voter-16.csv,3,0.01878637405480296,610.4158158168159,858.2602015487466
h2,voter-16.csv,4,0.016059287390189615,517.8366937099358,697.4154016023402
h2,voter-2.csv,0,0.0172975480607599,576.0380534686701,789.6433076365951
h2,voter-2.csv,1,0.01769232643964895,583.3364570012787,877.4100536486956
h2,voter-2.csv,2,0.021060820936101735,661.5383981377877,878.9239400457528
h2,voter-2.csv,3,0.015438778872331515,489.67668538203327,760.4154918886773
h2,voter-2.csv,4,0.01612414724916318,503.9834685496795,671.3992529691653
h2,ycsb-2400.csv,0,0.04377139456956804,628.2293048673274,820.1985917978172
h2,ycsb-2400.csv,1,0.04624088446703766,640.7458689657929,823.4657999480155
h2,ycsb-2400.csv,2,0.04274485073133861,592.6640899736253,750.0853094836056
h2,ycsb-2400.csv,3,0.07079785037296955,987.4497432464834,1740.1197689319831
h2,ycsb-2400.csv,4,0.040671775489901085,561.9300530849359,715.1300765492435
h2,ycsb-600.csv,0,0.047783332296641945,942.8591377277813,1433.4248315363106
h2,ycsb-600.csv,1,0.04552287900212878,931.965448169757,1335.3674320472262
h2,ycsb-600.csv,2,0.041346994788633414,845.9776289761828,1114.7906020345124
h2,ycsb-600.csv,3,0.034842591044412084,711.6392887827685,935.2969041669655
h2,ycsb-600.csv,4,0.03563329954885241,711.0169646434294,948.3354857676647
jump3r,beethoven.wav.csv,0,0.163232232467561,1.7408960932777042,2.492545885623727
jump3r,beethoven.wav.csv,1,0.17288746895827567,1.8103744661140215,2.709823655215918
jump3r,beethoven.wav.csv,2,0.18000079960461762,1.8235892175349349,2.4853887818970266
